"","Domain","Phylum","Class","Order","Family","Genus","Species","Trophic.Mode","Guild","Trait","Confidence.Ranking","Notes","Citation.Source","Genus_species"
"ASV1495","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyphodiscus","hymeniophilus","Pathotroph","Fungal Parasite","NULL","Highly Probable","NULL","List compiled by John Plischke III (http://home.comcast.net/~grifola/fungionfungi.pdf)","Hyphodiscus_hymeniophilus"
"ASV1496","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","NA","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","NULL","Probable","Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)","Neocucurbitaria_NA"
"ASV1497","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Diddensiella","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Diddensiella_NA"
"ASV1498","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","NULL","Possible","NULL","Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Damm U, et al. 2010. Persoonia 24:60-80; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]","Coniochaeta_NA"
"ASV1500","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Retiarius","NA","Saprotroph","Wood Saprotroph","NULL","Probable","Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Retiarius_NA"
"ASV1501","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia","NA","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Soil Saprotroph-Undefined Saprotroph","NULL","Possible","Species isolated from tumour-like stem and branch deformities of Populus tremuloides, bark of Populus, rocks, and clinical samples, with one species causes opportunistic skin infections in humans (Crous et al. 2013)","Li DM, et al. 2008. Studies in Mycology 61:131-136; Crous PW, et al. 2013. Persoonia 31:188-296; Irinyi L, et al. 2015. Medical Mycology 53:313-337","Knufia_NA"
"ASV1502","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Cadophora","NA","Symbiotroph","Endophyte","NULL","Highly Probable","Dark Septate Endophyte, known from plant roots.","Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; Newsham 2011. New Phytologist 190:783-793 (as DSE)","Cadophora_NA"
"ASV1503","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Catenulostroma","NA","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Catenulostroma_NA"
"ASV1504","Fungi","Ascomycota","Dothideomycetes","Pleosporales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1507","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","pullulans","-","-","-","-","Unassigned","-","Tausonia_pullulans"
"ASV1509","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1510","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Biscogniauxia","nummularia","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Biscogniauxia_nummularia"
"ASV1513","Fungi","Ascomycota","Sordariomycetes","Microascales","Graphiaceae","Graphium","NA","Pathotroph-Saprotroph","Animal Pathogen-Lichen Parasite-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph","NULL","Probable","Some (e.g., G. basitruncatum) likely opportunistic human pathogen (Irinyi et al. 2015)","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Graphium_NA"
"ASV1515","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","NA","NA","Saprotroph","Plant Saprotroph-Wood Saprotroph","NULL","Probable","Saprobes associated with decaying woody and herbaceous plant material, including timber and timber products in damp buildings (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV1516","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","NA","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Peniophora_NA"
"ASV1517","Fungi","Basidiomycota","Tremellomycetes","Tremellales","NA","NA","NA","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","NA_NA"
"ASV1518","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae","Angustimassarina","acerina","Pathotroph-Saprotroph","Fungal Parasite-Wood Saprotroph","NULL","Highly Probable","On fungi or dead wood in terrestrial habitats (Thambugala et al. 2015)","Thambugala KM, et al. 2015. Fungal Diversity 74:199-266","Angustimassarina_acerina"
"ASV1521","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","NA","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471","Exophiala_NA"
"ASV1523","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Lecidella","f._elaeochroma","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Lecidella_f._elaeochroma"
"ASV1524","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","NA","NA","Pathotroph-Saprotroph","Plant Pathogen-Undefined Saprotroph","NULL","Probable","Members are foliicolous, saprobic or plant pathogenic (Quaedvlieg et al. 2014)","Quaedvlieg W. et al. 2014. Persoonia 33:1-40","NA_NA"
"ASV1525","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotrema","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Lophiotrema_NA"
"ASV1526","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Platystomum","crataegi","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Platystomum_crataegi"
"ASV1527","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","NA","NA","Saprotroph","Plant Saprotroph-Wood Saprotroph","NULL","Probable","Saprobic on woody and herbaceous material (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV1528","Fungi","Basidiomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1529","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1531","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","NULL","Possible","NULL","Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Damm U, et al. 2010. Persoonia 24:60-80; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]","Coniochaeta_NA"
"ASV1532","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","halotolerans","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","NULL","Possible","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Cladosporium_halotolerans"
"ASV1533","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","NA","NA","Symbiotroph","Ectomycorrhizal","NULL","Probable","Terrestrial forming mycorrhizas with a wide range of plants including orchids, Ericaceae and liverworts as well as ectomycorrhizas with conifers and angiosperm trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV1534","Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Calocera","NA","Saprotroph","Wood Saprotroph","Brown Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688; Nagy LG et al. 2016. Molecular Biology and Evolution 33:959-970","Calocera_NA"
"ASV1535","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1536","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Catenulostroma","NA","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Catenulostroma_NA"
"ASV1537","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Irpicaceae","Ceriporia","lacerata","Saprotroph","Wood Saprotroph","White Rot","Highly Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Ceriporia_lacerata"
"ASV1538","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","NA","NA","Pathotroph-Saprotroph","Fungal Parasite-Plant Pathogen-Plant Saprotroph","NULL","Probable","Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV1539","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)","Umbelopsis_NA"
"ASV1541","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1542","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Xylodon","raduloides","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Xylodon_raduloides"
"ASV1543","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","microstomus","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Cryptodiscus_microstomus"
"ASV1544","Fungi","Basidiomycota","Tremellomycetes","Tremellales","NA","NA","NA","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","NA_NA"
"ASV1545","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","tenebricosa","Saprotroph","Wood Saprotroph","NULL","Probable","Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Orbilia_tenebricosa"
"ASV1546","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Mucronella","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Mucronella_NA"
"ASV1548","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Brachysporium","nigrum","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Brachysporium_nigrum"
"ASV1549","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1550","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","eucalypti","Saprotroph","Wood Saprotroph","NULL","Probable","Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Orbilia_eucalypti"
"ASV1551","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","NA","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stereum_NA"
"ASV1552","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","hirsutum","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stereum_hirsutum"
"ASV1553","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","pluriseptata","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","NULL","Probable","Consult the current literature for updated names on this group that included the Black Yeasts; Some species are likely opportunistic human pathogen (Irinyi et al. 2015)","Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337","Cyphellophora_pluriseptata"
"ASV1554","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Scoliciosporum","NA","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Scoliciosporum_NA"
"ASV1557","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","bergeri","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471","Exophiala_bergeri"
"ASV1558","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Barbatosphaeria","barbirostris","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Barbatosphaeria_barbirostris"
"ASV1559","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1560","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Rhinocladiella","NA","Saprotroph","Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688","Rhinocladiella_NA"
"ASV1561","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Inonotus","obliquus","Saprotroph","Wood Saprotroph","White Rot","Highly Probable","NULL","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo","Inonotus_obliquus"
"ASV1562","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","Buckleyzymaceae","Buckleyzyma","aurantiaca","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Wang QM, et al. 2015. Studies in Mycology 81:149-189 (https://doi.org/10.1016/j.simyco.2015.12.002)","Buckleyzyma_aurantiaca"
"ASV1563","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","brevicompactum","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Penicillium_brevicompactum"
"ASV1564","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Stypella","grilletii","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stypella_grilletii"
"ASV1565","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Pertusaria","rubefacta","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Pertusaria_rubefacta"
"ASV1568","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Sugiyamaella","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Sugiyamaella_NA"
"ASV1569","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","NULL","Possible","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Cladosporium_NA"
"ASV1570","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1571","Fungi","Ascomycota","Leotiomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1573","Fungi","Ascomycota","Dothideomycetes","Capnodiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1574","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae","Angustimassarina","acerina","Pathotroph-Saprotroph","Fungal Parasite-Wood Saprotroph","NULL","Highly Probable","On fungi or dead wood in terrestrial habitats (Thambugala et al. 2015)","Thambugala KM, et al. 2015. Fungal Diversity 74:199-266","Angustimassarina_acerina"
"ASV1575","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Catenulostroma","NA","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Catenulostroma_NA"
"ASV1576","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","tephrensis","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Vishniacozyma_tephrensis"
"ASV1577","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Kuraishia","cidri","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Kuraishia_cidri"
"ASV1578","Fungi","Ascomycota","Lecanoromycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1580","Fungi","Basidiomycota","Cystobasidiomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1581","Fungi","Basidiomycota","Microbotryomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1582","Fungi","Ascomycota","Eurotiomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1583","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascales_fam_Incertae_sedis","Cephalotrichiella","penicillata","-","-","-","-","Unassigned","-","Cephalotrichiella_penicillata"
"ASV1584","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Porinaceae","Porina","byssophila","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Porina_byssophila"
"ASV1585","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","NA","Saprotroph","Wood Saprotroph","NULL","Probable","Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Orbilia_NA"
"ASV1586","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Flavoparmelia","soredians","Symbiotroph","Lichenized","NULL","Highly Probable","Lichenized with green algae, mostly growing on tree bark and rocks (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Flavoparmelia_soredians"
"ASV1587","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1588","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Bacidia","vermifera","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Bacidia_vermifera"
"ASV1589","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Myriangiales_fam_Incertae_sedis","Endosporium","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Endosporium_NA"
"ASV1591","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Piskurozyma","taiwanensis","-","-","-","-","Unassigned","-","Piskurozyma_taiwanensis"
"ASV1592","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Priceomyces","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Priceomyces_NA"
"ASV1593","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Brachysporium","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Brachysporium_NA"
"ASV1594","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1595","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1597","Fungi","Ascomycota","Leotiomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1600","Fungi","Ascomycota","Sordariomycetes","Pleurotheciales","Pleurotheciaceae","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1601","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Lecanora","NA","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Lecanora_NA"
"ASV1602","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","NULL","Possible","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Cladosporium_NA"
"ASV1603","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Hyalorbilia","erythrostigma","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Hyalorbilia_erythrostigma"
"ASV1604","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","NA","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471","Exophiala_NA"
"ASV1605","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Aspergillus_NA"
"ASV1606","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1607","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV1609","Fungi","Ascomycota","Sordariomycetes","Pleurotheciales","Pleurotheciaceae","Pleurothecium","semifecundum","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Pleurothecium_semifecundum"
"ASV1610","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chaetosphaeria","NA","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Wood Saprotroph","NULL","Probable","NULL","Réblová M et al. 2006. Mycological Research 110:104-109; Tedersoo L, et al. 2014. Science 346:1256688","Chaetosphaeria_NA"
"ASV1611","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","hungarica","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Dioszegia_hungarica"
